Label,Cluster,Best_Match_Pred,6_Count,lk_elem_1,lk_elem_2,lk_elem_3,lk_elem_4,lk_elem_5,Range_1,Range_2,Range_1_2,Lack_Count
IP-14,16,HONOR-70_1,2,0,0,0,0,0,0,0,0,0
IP-14,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
IP-14,16,HONOR-70_1,4,0,0,1,0,0,0,0,0,1
IP-14,16,HONOR-70_1,1,0,0,0,0,0,0,0,0,0
IP-14,16,HONOR-70_1,4,0,0,1,0,0,0,0,0,1
IP-14,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
IP-14,16,HONOR-70_1,2,0,0,0,0,0,0,0,0,0
IP-14,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
IP-14,16,HONOR-70_1,2,0,0,0,0,0,0,0,0,0
IP-14,16,HONOR-70_1,3,0,0,0,0,1,0,0,0,1
IPhone-12_LTE32,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
IPhone-12_LTE32,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
IPhone-12_LTE32,16,HONOR-70_1,2,0,0,0,0,0,0,0,0,0
IPhone-12_LTE32,16,HONOR-70_1,6,0,0,0,0,0,0,0,0,0
IPhone-12_LTE32,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
IPhone-12_LTE32,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
IPhone-12_LTE32,16,HONOR-70_1,1,0,0,0,0,0,0,0,0,0
IPhone-12_LTE32,16,HONOR-70_1,2,0,0,0,0,0,0,0,0,0
IPhone-12_LTE32,16,HONOR-70_1,1,0,0,0,0,0,0,0,0,0
IPhone-12_LTE32,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
IPhone-12_LTE32,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
IPhone-12_LTE32,16,HONOR-70_1,5,0,0,0,0,0,0,0,0,0
OPPO-FINDX3PRO_1,16,HONOR-70_1,2,0,0,0,0,0,0,6,0,0
OPPO-FINDX3PRO_1,16,HONOR-70_1,2,0,0,0,0,1,0,0,0,1
OPPO-FINDX3PRO_1,12,HUAWEI-mate40pro,3,0,0,0,0,0,0,0,0,0
OPPO-FINDX3PRO_1,16,HONOR-70_1,3,0,0,0,0,0,0,0,0,0
OPPO-FINDX3PRO_1,16,HONOR-70_1,4,0,0,0,0,0,0,3,0,0
OPPO-FINDX3PRO_1,16,HONOR-70_1,3,0,0,0,0,0,0,6,0,0
OPPO-FINDX3PRO_1,16,HONOR-70_1,14,0,0,0,0,0,0,6,0,0
OPPO-FINDX3PRO_1,2,OPPO-FINDX3PRO_1,12,0,0,0,0,0,0,4,0,0
OPPO-FINDX3PRO_1,16,HONOR-70_1,7,0,0,0,0,0,0,0,0,0
OPPO-FINDX3PRO_1,16,HONOR-70_1,3,0,0,0,0,0,0,3,0,0
OPPO-FINDX3PRO_1,16,HONOR-70_1,3,0,0,0,0,0,0,3,0,0
OPPO-FINDX3PRO_1,16,HONOR-70_1,3,0,0,0,0,0,0,4,0,0
OPPO-FINDX3PRO_1,16,HONOR-70_1,3,0,0,0,0,0,0,3,0,0
OPPO-FINDX3PRO_2,1,IPAD-11air,3,0,0,0,0,1,2,6,1,1
OPPO-FINDX3PRO_2,8,OPPO-FINDX3PRO_2,3,1,0,0,1,0,0,1,0,2
