Sample,Type_6_Last_Occurrence_Time,Type_Sequence_In_Range,First_Stage_Time_Diff,Next_Packet_After_First_Stage,Avg_Time_Dst_1,Dst_One_Exists,Dst_One_Count,Type_Unique_Count,Type_Sequence,Type_1_First_Occurrence_Time,Type_2_First_Occurrence_Time,Type_3_First_Occurrence_Time,Type_4_First_Occurrence_Time,Type_5_First_Occurrence_Time,Type_6_First_Occurrence_Time,Type_1_Count,Type_2_Count,Type_3_Count,Type_4_Count,Type_5_Count,Type_6_Count,Type_2_First_Occurrence_Time_Diff,Type_3_First_Occurrence_Time_Diff,Type_4_First_Occurrence_Time_Diff,Type_5_First_Occurrence_Time_Diff,Type_6_First_Occurrence_Time_Diff,Type_Sequence_Descending_Count,Label
36,0.0263431072235107,"1,2,2,2,1,2,2,2",0.0263431072235107,6.377073049545288,6.389286041259766,0,0,4,"3,3,4,5,5,6,6",0.0,0.0,0.0,0.0050580501556396,0.0112590789794921,0.0215630531311035,0,0,2,1,2,2,0.0,0.0,0.0050580501556396,0.006201028823852501,0.010303974151611398,0,HONOR-80_SE_1
37,0.0332710742950439,,0.0332710742950439,0.0,0.0,0,0,4,"3,3,4,5,6,6",0.0,0.0,0.0,0.0040969848632812,0.0107119083404541,0.0300419330596923,0,0,2,1,1,2,0.0,0.0,0.0040969848632812,0.0066149234771729,0.019330024719238198,0,HONOR-80_SE_1
38,0.0501551628112793,"1,2,2,2,1,2,2,2",0.0501551628112793,6.325400114059448,11.404414892196655,0,0,4,"3,3,4,4,4,4,5,6,6,6,6,6,6,6,6",0.0,0.0,0.0,0.0048520565032958,0.0126540660858154,0.0407080650329589,0,0,2,4,1,8,0.0,0.0,0.0048520565032958,0.0078020095825196,0.0280539989471435,0,HONOR-80_SE_1
39,0.031592845916748,"1,1",0.031592845916748,6.426492929458618,11.39636367559433,0,0,4,"3,3,4,5,6,6,6,6",0.0,0.0,0.0,0.0028088092803955,0.0105588436126708,0.0252549648284912,0,0,2,1,1,4,0.0,0.0,0.0028088092803955,0.0077500343322752996,0.014696121215820401,0,HONOR-80_SE_1
40,0.0284159183502197,"1,2,2,2,1,2,2,2",0.0284159183502197,6.165825843811035,6.1768639087677,0,0,4,"3,4,5,6,6,6",0.0,0.0,0.0,0.0041978359222412,0.0111968517303466,0.023256778717041,0,0,1,1,1,3,0.0,0.0,0.0041978359222412,0.0069990158081054,0.012059926986694398,0,HONOR-80_SE_1
41,0.0289299488067626,"1,2,2,2,1,2,2,2",0.0289299488067626,6.297753810882568,6.308668851852417,0,0,4,"3,3,4,5,6,6",0.0,0.0,0.0,0.0038669109344482,0.0097479820251464,0.0259130001068115,0,0,2,1,1,2,0.0,0.0,0.0038669109344482,0.005881071090698199,0.0161650180816651,0,HONOR-80_SE_1
42,0.025094985961914,"1,2,2",0.025094985961914,6.310104846954346,6.310104846954346,0,0,3,"4,5,6,6,6",0.0,0.0,0.0,0.0,0.00608491897583,0.0130250453948974,0,0,0,1,1,3,0.0,0.0,0.0,0.00608491897583,0.0069401264190674,0,HONOR-80_SE_1
43,0.0224089622497558,"1,2,1",0.0224089622497558,5.016875982284546,15.89157752195994,0,0,4,"3,3,4,4,5,6,6,6",0.0,0.0,0.0,0.0039710998535156,0.0103130340576171,0.0135960578918457,0,0,2,2,1,3,0.0,0.0,0.0039710998535156,0.006341934204101501,0.003283023834228599,0,HONOR-80_SE_1
44,0.026310920715332,"1,2,2,1,2,2,2",0.026310920715332,3.975379943847656,3.986795425415039,0,0,2,"4,6",0.0,0.0,0.0,0.0,0.0,0.0250539779663085,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0250539779663085,0,HONOR-80_SE_2
45,0.0216631889343261,"1,2,2,2,1",0.0216631889343261,3.926586151123047,3.9380221366882324,0,0,4,"3,3,4,5,6,6,6",0.0,0.0,0.0,0.0030720233917236,0.0093040466308593,0.0165860652923584,0,0,2,1,1,3,0.0,0.0,0.0030720233917236,0.0062320232391357006,0.007282018661499098,0,HONOR-80_SE_2
46,0.0207550525665283,"1,1,2,2,2",0.0207550525665283,3.83219313621521,3.8430986404418945,0,0,4,"3,3,4,5,6,6,6",0.0,0.0,0.0,0.0023870468139648,0.0088810920715332,0.0150821208953857,0,0,2,1,1,3,0.0,0.0,0.0023870468139648,0.006494045257568399,0.006201028823852501,0,HONOR-80_SE_2
