Label,Next_Packet_After_First_Stage,First_Stage_Time_Diff,Type_6_Time_Ratio,Range_1,A_CV,Range_2,A_Skewness,Range_1_2
OPPO-FINDX3PRO_2,10.61944580078125,0.0635550022125244,-0.868004156522326,2,1.796033619690834,6,2.4525795199565854,1
OPPO-FINDX3_2,6.560403823852539,0.0589258670806884,-0.5195486196809264,4,1.5556888822256905,5,1.5144872699134204,3
OPPO-FINDX3_2,9.45176911354065,0.0545811653137207,-0.5670816406761884,4,1.2513511772856527,6,1.0315637426413398,3
OPPO-FINDX3_2,9.351985216140749,0.0631911754608154,-0.429458616149077,4,1.5405802361843983,5,1.7204867789273497,3
OPPO-FINDX3_2,9.344453811645508,0.0483438968658447,-0.3895220669826255,3,1.488983149657667,5,2.085871467531176,2
OPPO-FINDX3_2,9.494329929351808,0.0584738254547119,-0.583832469613507,2,0.9182468836833,3,0.936416422458493,1
OPPO-FINDX3_2,9.315356969833374,0.0528459548950195,-0.8858571093425737,3,1.855798863202709,3,2.345199595281978,1
OPPO-FINDX3_2,9.36604619026184,0.0634729862213134,-0.4677584749741754,2,1.040768296186,2,1.167516997083158,1
OPPO-FINDX3_2,9.354969024658203,0.0613529682159423,-0.4690070842060669,4,1.3504334984370667,5,1.989742814074004,2
OPPO-FINDX3_2,9.341399908065796,0.0551080703735351,-0.5010340053647135,2,1.4869394131092928,6,1.6267792636996017,1
OPPO-FINDX3_2,9.457815885543823,0.0631208419799804,-0.896739540997477,4,1.8847878039332555,6,2.509394189546195,3
OPPO-FINDX3_2,9.353617906570436,0.0656299591064453,-0.5858133046586641,1,0.946639711901636,1,0.9982147666274104,0
OPPO-FINDX3_2,9.347832202911375,0.0629851818084716,-0.4746857244519814,3,1.4451149137469368,5,1.114888739466528,2
OPPO-FINDX5_2,0.0,0.0586590766906738,-0.4949112724257615,0,0.9481777553955804,0,1.0552692625721167,0
OPPO-FINDX5_2,0.0,0.0607330799102783,-0.4404690401322167,0,1.4170598090508928,0,1.9103140954427016,0
OPPO-FINDX5_2,0.0,0.068572998046875,-0.4977921951490875,0,1.0945627650736776,0,1.0075484364806817,0
OPPO-FINDX5_2,0.0,0.0649189949035644,-0.4475595872048185,0,1.460881562317944,0,1.8232356280691735,0
OPPO-FINDX5_2,0.0,0.0586750507354736,-0.4676779046001434,0,1.5267343656768462,0,2.1200812655245405,0
OPPO-FINDX5_2,0.0,0.0665538311004638,-0.3945663037754291,0,1.8481025962695383,0,2.611680631688557,0
OPPO-FINDX5_2,0.0,0.0808069705963134,-0.3993461757477223,0,1.5357933611846617,0,1.8835575255451216,0
OPPO-FINDX5_2,0.0,0.0691049098968505,-0.3378334086604316,0,1.6870189577280543,0,2.519356057904501,0
OPPO-FINDX5_2,0.0,0.0609939098358154,-0.4535369605241028,0,1.2534357616116654,0,1.659626215086798,0
OPPO-FINDX5_2,0.0,0.0810639858245849,-0.4750696309193627,0,1.4888161105032602,0,1.8591577575852467,0
OPPO-FINDX5_2,0.0,0.0847411155700683,-0.8994232338294467,0,2.0635001470582544,0,2.350247929695429,0
OPPO-FINDX5_2,0.0,0.0725190639495849,-0.4246220004142463,0,1.3924930906101989,0,1.7001670427925504,0
OPPO-FINDX5_2,0.0,0.0646760463714599,-0.3096645052364604,0,1.7689915946025971,0,2.54148144227865,0
OPPO-FINDX5_2,0.0,0.0628881454467773,-0.3330527880138899,0,1.595988917818047,0,2.432374090993138,0
OPPO-FINDX5_2,0.0,0.067652940750122,-0.3143534785044942,0,1.7554640273759572,0,2.5469105021645158,0
OPPO-FINDX5_2,0.0,0.0727238655090332,-0.4089716942162305,0,1.5510666897445242,0,2.122572570801908,0
IQOO-Z9X,10.180529832839966,0.2044508457183838,-0.8310214581664289,7,1.7826553923213364,4,2.2527382061900307,1
IQOO-Z9X,10.27394986152649,0.207007884979248,-0.815123224309937,8,1.7474251298068717,4,2.2521191972980743,1
IQOO-Z9X,10.381669998168944,0.2125248908996582,-0.8401885137212051,8,1.8218395682254,4,2.277234168186145,1
IQOO-Z9X,10.1260027885437,0.1996848583221435,-0.8492977640444207,8,1.8322361990699907,5,2.255807985394105,2
