Label,Next_Packet_After_First_Stage,First_Stage_Time_Diff,Gap_23_Time,Gap_23_Time_Ratio,Type_3_Last_Time,A_IAT_StdDev,Type_6_Time_Ratio,Range_1,A_Silence_Max_Duration,A_Silence_Avg_Duration,A_Silence_Total_Duration,Gap_34_Time_Ratio,Range_2,Gap_34_Time,Probe_Time_Ratio,Range_1_2,A_Kurtosis,A_CV,A_IAT_Skew_Ratio,A_Skewness
OPPO-A36,11.4584698677063,0.2072620391845703,0.0011389255523681,0.0054950996180919,0.0142958164215087,0.0396007367691274,-0.870424009570699,7,0.1288738250732422,0.1288738250732422,0.1288738250732422,0.0085262043896379,5,0.0017671585083008,0.0065764045460818,4,3.908107060697557,1.9106603855162467,10.70266500622661,2.314483491126204
OPPO-A36,11.331866979599,0.1995999813079834,0.002629041671753,0.0131715526951697,0.01544189453125,0.0362537978816053,-0.8554915711379707,6,0.1184990406036377,0.1184990406036377,0.1184990406036377,0.0102713504693715,5,0.0020501613616943,0.0049547112160658,3,3.7836554294125806,1.8163227092524452,7.742328413016583,2.278335104335897
OPPO-A36,11.555366039276125,0.2064769268035888,0.0024878978729247,0.0120492779093492,0.0158281326293945,0.0358065051989862,-0.8282039705459532,6,0.1178278923034668,0.1178278923034668,0.1178278923034668,0.0092791564235292,4,0.0019159317016601,0.0072699811899627,3,3.7479005276847728,1.7341649623179074,4.437342119714467,2.264770096033253
OPPO-A36,11.380383968353271,0.1996359825134277,0.0028800964355469,0.0144267401060987,0.0151598453521728,0.0370260320674181,-0.8686856141038104,5,0.1205790042877197,0.1205790042877197,0.1205790042877197,0.0127034134526961,4,0.0025360584259032,0.0051640086273813,3,3.776542525098166,1.854677278176932,12.262852386639116,2.2776558389859267
OPPO-A36,11.314232110977173,0.1993861198425293,0.0019631385803223,0.0098459139576653,0.0158901214599609,0.0368323214643594,-0.8666449037769373,8,0.119891881942749,0.119891881942749,0.119891881942749,0.0081945650172309,3,0.001633882522583,0.0099200512743245,3,3.74147120558193,1.8472861347343927,11.398947900859886,2.267266257467654
OPPO-A36,11.250411033630373,0.1961290836334228,0.0018529891967774,0.0094478042850633,0.0148110389709472,0.0541644727205622,-0.8897407688801096,6,0.1574909687042237,0.1574909687042237,0.1574909687042237,0.0112274730284149,4,0.002202033996582,0.0054155903358149,2,2.958502865592343,2.2093397559251944,28.3255027788925,2.198267989263827
OPPO-A36,11.557728052139282,0.2061119079589843,1.0967254638699847e-05,5.321019414793978e-05,0.0015149116516113,0.0387417669892532,-0.83697668930799,7,0.121708869934082,0.121708869934082,0.121708869934082,0.0689048879347043,3,0.0142021179199219,0.0072967370583551,2,3.0068993587784405,1.6916824765537812,5.781711606096106,2.106739518305505
OPPO-A36,11.170711040496826,0.2001729011535644,0.0042529106140137,0.0212461856200557,0.0171248912811279,0.0361311837035477,-0.8668498521890549,4,0.1181328296661377,0.1181328296661377,0.1181328296661377,0.0170607894843412,3,0.0034151077270508,0.0054800818498636,2,3.7592073788472176,1.804998753344208,9.046690707350784,2.2713503849264005
OPPO-A36,11.170842170715332,0.2006731033325195,0.0018060207366943,0.0089998146572821,0.0153031349182128,0.0354559088231363,-0.8710537446357539,7,0.1204209327697753,0.1204209327697753,0.1204209327697753,0.0230121993527263,3,0.0046179294586181,0.0096829689051946,2,4.625861609483962,1.94353398924736,10.014862804878046,2.449535562824349
OPPO-A36,11.260958909988403,0.198758840560913,0.0014500617980957,0.0072955839046128,0.0147109031677246,0.038359757454564,-0.8635538682068722,5,0.1198539733886719,0.1198539733886719,0.1198539733886719,0.0088201954045738,5,0.0017530918121337,0.0076722385159323,3,2.9862194816100818,1.7369683588251368,8.222734927585039,2.1086634048173187
OPPO-A36,11.146858930587769,0.2067430019378662,0.0035450458526612,0.0171471141438036,0.0159049034118652,0.0356227084200338,-0.8355484620183753,3,0.1176388263702392,0.1176388263702392,0.1176388263702392,0.020702467759066,4,0.0042800903320312,0.0053059299331247,2,3.823283083071204,1.723043009249706,4.8185257748514445,2.28848953196292
OPPO-A36,11.241205215454102,0.1956310272216797,0.0012760162353516,0.0065225657375181,0.0150680541992187,0.0360137775834664,-0.8647042908537832,6,0.1171209812164306,0.1171209812164306,0.1171209812164306,0.0100702467655288,5,0.0019700527191161,0.0094060467791781,4,3.6958065096555472,1.840903158099631,11.24022689671467,2.2534122880848098
