Label,Type_Sequence,Type_Sequence_In_Range,First_Stage_Time_Diff,Next_Packet_After_First_Stage,Avg_Time_Dst_1,Dst_One_Count,Type_1_First_Occurrence_Time,Type_2_First_Occurrence_Time,Type_3_First_Occurrence_Time,Type_4_First_Occurrence_Time,Type_5_First_Occurrence_Time,Type_6_First_Occurrence_Time,Type_1_Count,Type_2_Count,Type_3_Count,Type_4_Count,Type_5_Count,Type_6_Count,lack,excess,lk_count,lk_elem_1,lk_elem_2,lk_elem_3,lk_elem_4,lk_elem_5,Range_1,Range_2,Range_1_2
HONOR-70Pro,"3,3,4,5,6,6,6,6","1,2,2,2,1,2,2,2",0.0419611930847168,4.495343208312988,4.507770657539368,2,0.0,0.0,0.0,0.0085182189941406,0.0147020816802978,0.0316841602325439,0,0,2,1,1,4,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,2,6,1
HONOR-70Pro,"3,3,4,5,6,6,6,6",,0.0380020141601562,0.0,0.0,0,0.0,0.0,0.0,0.0033800601959228,0.0101170539855957,0.0231800079345703,0,0,2,1,1,4,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,0,0,0
HONOR-70Pro,"3,4,5,6,6,6,6,6,6","1,2,2,2,1,2,2,2",0.0641961097717285,6.5000200271606445,15.762194442749024,5,0.0,0.0,0.0,0.0029809474945068,0.0094251632690429,0.0259089469909667,0,0,1,1,1,6,"(1, 2)",[],2,1,2,0,0,0,2,6,1
HONOR-70Pro,"3,3,4,6,6,6","1,2,2,2,1,2,2,2",0.0410330295562744,6.503082990646362,6.514299988746643,2,0.0,0.0,0.0,0.0095419883728027,0.0,0.0223650932312011,0,0,2,1,0,3,"(1, 2, 5)","[(3, 3, 4)]",3,1,2,5,0,0,2,6,1
HONOR-70Pro,"3,3,6,6,6","1,2,2,2,1,2,2",0.0291600227355957,4.5212931632995605,4.532610177993774,2,0.0,0.0,0.0,0.0,0.0,0.0242390632629394,0,0,2,0,0,3,"(1, 2, 4, 5)","[(3, 3, 3)]",4,1,2,4,5,0,2,5,1
HONOR-70Pro,"3,3,4,5,6,6,6","1,2,2,2,1,2,2,2",0.0537919998168945,6.597815036773682,6.609005570411682,2,0.0,0.0,0.0,0.0033740997314453,0.01025390625,0.0166139602661132,0,0,2,1,1,3,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,2,6,1
HONOR-70Pro,"3,3,4,5,6,6","2,2,2,2,2",0.0406479835510253,4.480303049087524,0.0,0,0.0,0.0,0.0,0.0020289421081542,0.0084309577941894,0.0194830894470214,0,0,2,1,1,2,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,0,5,0
HONOR-70Pro,"3,3,5,6,6,6,6","1,2,2,2,1,2,2,2",0.0354449748992919,6.513426065444946,6.524287581443787,2,0.0,0.0,0.0,0.0,0.0085260868072509,0.0199241638183593,0,0,2,0,1,4,"(1, 2, 4)","[(3, 3, 5, 5)]",3,1,2,4,0,0,2,6,1
HONOR-70Pro,"3,4,5,6,6,6,6","1,2,2,2,1,2,2,2",0.0724999904632568,6.475807905197144,6.487227916717529,2,0.0,0.0,0.0,0.0022768974304199,0.0429568290710449,0.0429739952087402,0,0,1,1,1,4,"(1, 2)",[],2,1,2,0,0,0,2,6,1
HONOR-70Pro,"3,3,4,5,6,6,6,6","1,2,2,1,2,2",0.0340669155120849,6.501811981201172,10.330790758132935,4,0.0,0.0,0.0,0.0049459934234619,0.0114128589630126,0.0182600021362304,0,0,2,1,1,4,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,2,4,1
HONOR-70Pro,"3,3,4,5,6,6,6,6",,0.0416071414947509,0.0,0.0,0,0.0,0.0,0.0,0.0028362274169921,0.0089280605316162,0.0121970176696777,0,0,2,1,1,4,"(1, 2)","[(3, 3, 4)]",2,1,2,0,0,0,0,0,0
HONOR-70_1,"1,2,2,3,3,4,5,6,6,6,6",,0.0354421138763427,0.0,0.0,0,0.0,0.0012071132659912,0.0022721290588378,0.0057859420776367,0.0123500823974609,0.0226690769195556,1,2,2,1,1,4,(),"[(2, 2, 3), (3, 3, 4)]",0,0,0,0,0,0,0,0,0
HONOR-70_1,"1,1,2,2,2,3,4,5,6,6,6,6","2,2,2,2,2",0.0337738990783691,5.782779932022095,0.0,0,0.0,0.0010619163513183,0.0034220218658447,0.0059258937835693,0.0128240585327148,0.0159769058227539,2,3,1,1,1,4,(),"[(1, 1, 2), (2, 2, 2, 3)]",0,0,0,0,0,0,0,5,0
HONOR-70_1,"1,2,2,2,3,3,4,4,5,6,6,6,6","2,2,2,2,2,2",0.0390169620513916,5.62737512588501,0.0,0,0.0,8.106231689453125e-06,0.0023779869079589,0.0048320293426513,0.0130989551544189,0.0304579734802246,1,3,2,2,1,4,(),"[(2, 2, 2, 3), (3, 3, 4), (4, 4, 5)]",0,0,0,0,0,0,0,6,0
