Label,Next_Packet_After_First_Stage,First_Stage_Time_Diff,Type_6_Last_Time,Gap_23_Time,Type_5_Last_Time,Type_3_Last_Time,Type_4_Last_Time,Type_3_First_Occurrence_Time,A_IAT_P10,Type_6_Time_Ratio,Gap_34_Time_Ratio,Gap_23_Time_Ratio,Type_6_Time,A_IAT_P95,A_IAT_StdDev,DBSCAN_Cluster
OPPO-FINDX3_2,9.353617906570436,0.0656299591064453,0.0656299591064453,0.0047159194946289,0.023000955581665,0.0129129886627197,0.0154590606689453,0.005868911743164,0.0009199619293212,0.4141866953413359,0.0387943561277574,0.0718562004126826,0.0271830558776855,0.0188876152038573,0.0069031028422935,0
OPPO-FINDX3_2,9.457815885543823,0.0631208419799804,0.0631208419799804,0.0028150081634522,0.0169849395751953,0.0052540302276611,0.0101740360260009,0.0052540302276611,2.722740173339636e-05,0.103260459002523,0.0779458201761669,0.0445971263239013,0.0065178871154785,0.024854815006256,0.0118969393137865,0
OPPO-FINDX3_2,9.341399908065796,0.0551080703735351,0.0551080703735351,7.152557373100001e-06,0.0121269226074218,0.0030138492584228,0.0057370662689208,0.0008430480957031,2.694129943847656e-05,0.4989659946352864,0.0494159383923155,0.0001297914683751,0.0274970531463623,0.0192229747772217,0.0074493056198918,0
OPPO-FINDX3_2,9.354969024658203,0.0613529682159423,0.0613529682159423,0.0066518783569336,0.0192761421203613,0.0080130100250244,0.0120501518249511,0.0079879760742187,2.393722534182966e-05,0.5309929157939332,0.0658018987071218,0.1084198295593649,0.0325779914855957,0.01962012052536,0.0082853103507353,0
OPPO-FINDX3_2,9.36604619026184,0.0634729862213134,0.0634729862213134,-6.91413879390021e-06,0.0158441066741943,0.0024151802062988,0.0090031623840332,0.0024151802062988,2.0647048950219943e-05,0.5322415250258246,0.1037919053432252,-0.0001089304160007,0.0337829589843749,0.0192994594573974,0.0073400746359326,0
OPPO-FINDX3_2,9.315356969833374,0.0528459548950195,0.0528459548950195,0.0012030601501465,0.014657974243164,0.0036389827728271,0.0055680274963378,0.0036389827728271,2.8872489929205465e-05,0.1141428906574263,0.0365031671268467,0.0227654160576041,0.0060319900512694,0.021776270866394,0.0098071463019038,0
OPPO-FINDX3_2,9.494329929351808,0.0584738254547119,0.0584738254547119,0.007310152053833,0.02183198928833,0.0085690021514892,0.0143139362335205,0.0085690021514892,0.0009873390197753,0.416167530386493,0.0982479603028668,0.1250157997529121,0.0243349075317383,0.0161715984344482,0.0059659342223144,0
XIAOMI-MI11Lite,12.391906976699827,0.0833709239959716,0.0833709239959716,-6.91413879390021e-06,0.0111639499664306,0.0012397766113281,0.0043787956237792,0.0012259483337402,6.914138793999956e-06,0.6956014447370903,0.0376512441268226,-8.29322557854138e-05,0.0579929351806639,0.0317385196685791,0.0145104913657111,0
OPPO-FINDX3_2,9.347832202911375,0.0629851818084716,0.0629851818084716,0.0042839050292969,0.0,0.0053222179412841,0.0085241794586181,0.0053110122680664,2.250671386715801e-05,0.5253142755480186,0.0508367432687688,0.0680144901752226,0.0330870151519775,0.029573106765747,0.0130029750823549,0
XIAOMI-10MI1,10.27004599571228,0.0455000400543212,0.0455000400543212,0.0034840106964111,0.0141899585723876,0.0055370330810546,0.0080389976501464,0.0055298805236816,0.0006165504455566,0.3000246278315449,0.0549881838808224,0.076571596250281,0.0136511325836181,0.0144617557525634,0.005585440147347,0
